station,target,algo,variant_id,window_size,feature_variant,params,rmse_mean,rmse_std,r2_mean,mae_mean,holdout_rmse,holdout_r2,n_train_avg,n_folds,train_time_sec,feature_importances,error
Control_59_3-3_O,MCD,HistGB,HistGB#BASELINE,7,basic,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""max_iter"": 300, ""min_samples_leaf"": 20}",191.26352271810524,150.86810886733207,-0.31122152134506764,156.54674934069038,106.75230761468671,0.6836751809798403,163.0,5,2.0531913000013446,{},
Control_59_3-3_O,MCD,HistGB,HistGB#000,5,long_lags,"{""l2_regularization"": 0.01, ""learning_rate"": 0.01, ""max_depth"": 2, ""max_iter"": 1200, ""min_samples_leaf"": 10}",171.7458673272801,117.24122440580493,-0.39754079748001,141.9624178912971,112.86846537441929,0.6463904666804681,158.0,5,1.016945499999565,{},
Control_59_3-3_O,MCD,HistGB,HistGB#001,3,ema,"{""l2_regularization"": 0.0, ""learning_rate"": 0.12, ""max_depth"": 2, ""max_iter"": 2000, ""min_samples_leaf"": 5}",188.46583282644778,142.42147544580297,-0.13395558978884387,154.5185746104365,108.13161195518863,0.6754481573491006,163.0,5,0.29329429999779677,{},
Control_59_3-3_O,MCD,HistGB,HistGB#002,35,soil_profile,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 10}",159.57892296143444,112.47041707846837,-0.0484465931540111,134.27517416145855,102.46473801582879,0.7085744715140943,156.0,5,5.1686398000019835,{},
Control_59_3-3_O,MCD,HistGB,HistGB#003,21,irrigation_memory,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 1200, ""min_samples_leaf"": 10}",158.24802700206135,101.42236988853199,-0.004933198519151749,131.5383021420783,105.0868275936482,0.6934683747334611,159.0,5,3.239063199995144,{},
Control_59_3-3_O,MCD,HistGB,HistGB#004,3,soil_profile,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 600, ""min_samples_leaf"": 5}",183.33957175727951,143.50243608780312,-0.08542861199441172,150.22442481629542,111.37435857666517,0.6556903804218742,163.0,5,0.426065200001176,{},
Control_59_3-3_O,MCD,HistGB,HistGB#005,2,stress_indices,"{""l2_regularization"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""max_iter"": 1200, ""min_samples_leaf"": 20}",184.9828943525332,156.39082285984125,-0.45513740067092023,157.90115805516908,97.42587964537653,0.7365322903472313,159.0,5,0.8480989999952726,{},
Control_59_3-3_O,MCD,HistGB,HistGB#006,10,full,"{""l2_regularization"": 0.0, ""learning_rate"": 0.12, ""max_depth"": 2, ""max_iter"": 2000, ""min_samples_leaf"": 50}",,,,,,,90.0,2,0.19045029999688268,{},early_stopped_worse_than_baseline
Control_59_3-3_O,MCD,HistGB,HistGB#007,7,calendar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.12, ""max_depth"": 5, ""max_iter"": 600, ""min_samples_leaf"": 5}",159.61828566094096,86.73918699600058,0.017542280835610536,128.90066882087572,102.3286368160838,0.7093481429825897,163.0,5,0.6424629000030109,{},
Control_59_3-3_O,MCD,HistGB,HistGB#008,28,full,"{""l2_regularization"": 0.5, ""learning_rate"": 0.01, ""max_depth"": 3, ""max_iter"": 300, ""min_samples_leaf"": 20}",187.35719030249425,154.9122963673671,-0.4990067432003258,160.56729258979357,101.94253791792868,0.7115373376090821,159.0,5,3.1593951000031666,{},
Control_59_3-3_O,MCD,HistGB,HistGB#009,10,full,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""max_iter"": 1200, ""min_samples_leaf"": 10}",155.38344103276472,106.58449782231904,0.009205743724179904,129.70138589158375,96.48959174888988,0.7415719428798284,159.0,5,1.3849654000005103,{},
Control_59_3-3_O,MCD,HistGB,HistGB#010,5,stress_indices,"{""l2_regularization"": 1.0, ""learning_rate"": 0.01, ""max_depth"": null, ""max_iter"": 600, ""min_samples_leaf"": 10}",157.1285939398847,110.07584363562793,-0.014285550691612392,131.57057197270018,92.58382662937315,0.7620701238746052,159.0,5,2.0626612000050955,{},
Control_59_3-3_O,MCD,HistGB,HistGB#011,7,basic,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": 5, ""max_iter"": 600, ""min_samples_leaf"": 5}",165.49914576083336,91.95125782804786,-0.06227488964796697,132.85192151432332,99.89873817729877,0.7229879060711202,163.0,5,0.7944688000061433,{},
