# Started: 2026-05-09T22:25:24.3692703+02:00
# Command: backend\.venv\Scripts\python.exe -u -m backend.scripts.training_experiments.run_experiments --include-optional-boosters --skip-lstm --station Control_59_3-3_O --station RDC_62_6-3_O --station Secano_53_3-2_O --output-dir backend/scripts/training_experiments/results/full_platform_no_telemetry

2026-05-09 22:25:44,651 INFO Station Control_59_3-3_O: rows=448, holdout_idx=380, platform_inputs=humedad_Hd05,humedad_Hd15,humedad_Hd25,humedad_Hd35,humedad_Hd45,humedad_Hd55,humedad_Hd65,humedad_Hd75,tmax,tmin,pluv,dpv
2026-05-09 22:25:46,888 INFO Control_59_3-3_O | MCD | HistGB | HistGB#BASELINE W=7 V=basic rmse=191.2635±150.8681 ho=106.7523 t=2.1s OK
2026-05-09 22:25:48,241 INFO Control_59_3-3_O | MCD | HistGB | HistGB#000 W=5 V=long_lags rmse=171.7459±117.2412 ho=112.8685 t=1.0s OK
2026-05-09 22:25:48,700 INFO Control_59_3-3_O | MCD | HistGB | HistGB#001 W=3 V=ema rmse=188.4658±142.4215 ho=108.1316 t=0.3s OK
2026-05-09 22:25:55,291 INFO Control_59_3-3_O | MCD | HistGB | HistGB#002 W=35 V=soil_profile rmse=159.5789±112.4704 ho=102.4647 t=5.2s OK
2026-05-09 22:26:00,208 INFO Control_59_3-3_O | MCD | HistGB | HistGB#003 W=21 V=irrigation_memory rmse=158.2480±101.4224 ho=105.0868 t=3.2s OK
2026-05-09 22:26:00,780 INFO Control_59_3-3_O | MCD | HistGB | HistGB#004 W=3 V=soil_profile rmse=183.3396±143.5024 ho=111.3744 t=0.4s OK
2026-05-09 22:26:02,101 INFO Control_59_3-3_O | MCD | HistGB | HistGB#005 W=2 V=stress_indices rmse=184.9829±156.3908 ho=97.4259 t=0.8s OK
2026-05-09 22:26:02,388 INFO Control_59_3-3_O | MCD | HistGB | HistGB#006 W=10 V=full rmse=nan±nan ho=nan t=0.2s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:03,272 INFO Control_59_3-3_O | MCD | HistGB | HistGB#007 W=7 V=calendar rmse=159.6183±86.7392 ho=102.3286 t=0.6s OK
2026-05-09 22:26:07,876 INFO Control_59_3-3_O | MCD | HistGB | HistGB#008 W=28 V=full rmse=187.3572±154.9123 ho=101.9425 t=3.2s OK
2026-05-09 22:26:09,863 INFO Control_59_3-3_O | MCD | HistGB | HistGB#009 W=10 V=full rmse=155.3834±106.5845 ho=96.4896 t=1.4s OK
2026-05-09 22:26:13,023 INFO Control_59_3-3_O | MCD | HistGB | HistGB#010 W=5 V=stress_indices rmse=157.1286±110.0758 ho=92.5838 t=2.1s OK
2026-05-09 22:26:14,129 INFO Control_59_3-3_O | MCD | HistGB | HistGB#011 W=7 V=basic rmse=165.4991±91.9513 ho=99.8987 t=0.8s OK
2026-05-09 22:26:18,026 INFO Control_59_3-3_O | MCD | HistGB | HistGB#012 W=14 V=ema rmse=154.2119±94.0084 ho=104.1494 t=2.9s OK
2026-05-09 22:26:18,134 INFO Control_59_3-3_O | MCD | HistGB | HistGB#013 W=5 V=ema rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:19,566 INFO Control_59_3-3_O | MCD | HistGB | HistGB#014 W=21 V=irrigation_memory rmse=194.7434±164.4073 ho=98.4093 t=0.9s OK
2026-05-09 22:26:20,504 INFO Control_59_3-3_O | MCD | HistGB | HistGB#015 W=3 V=multi_roll rmse=135.3398±73.4358 ho=102.4931 t=0.7s OK
2026-05-09 22:26:20,921 INFO Control_59_3-3_O | MCD | HistGB | HistGB#016 W=28 V=robust_smoothing rmse=nan±nan ho=nan t=0.3s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:21,339 INFO Control_59_3-3_O | MCD | HistGB | HistGB#017 W=10 V=full rmse=nan±nan ho=nan t=0.3s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:23,456 INFO Control_59_3-3_O | MCD | HistGB | HistGB#018 W=28 V=basic rmse=163.2783±103.7128 ho=98.7613 t=1.4s OK
2026-05-09 22:26:30,487 INFO Control_59_3-3_O | MCD | HistGB | HistGB#019 W=10 V=full rmse=142.4933±85.2292 ho=92.9966 t=4.9s OK
2026-05-09 22:26:31,442 INFO Control_59_3-3_O | MCD | HistGB | HistGB#020 W=5 V=robust_smoothing rmse=168.3963±117.1322 ho=109.1933 t=0.7s OK
2026-05-09 22:26:31,921 INFO Control_59_3-3_O | MCD | HistGB | HistGB#021 W=3 V=irrigation_memory rmse=142.6836±71.4320 ho=103.4227 t=0.3s OK
2026-05-09 22:26:32,080 INFO Control_59_3-3_O | MCD | HistGB | HistGB#022 W=3 V=long_lags rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:32,521 INFO Control_59_3-3_O | MCD | HistGB | HistGB#023 W=35 V=multi_roll rmse=nan±nan ho=nan t=0.3s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:32,694 INFO Control_59_3-3_O | MCD | HistGB | HistGB#024 W=7 V=calendar rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:32,810 INFO Control_59_3-3_O | MCD | HistGB | HistGB#025 W=3 V=ema rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:33,229 INFO Control_59_3-3_O | MCD | HistGB | HistGB#026 W=35 V=ema rmse=nan±nan ho=nan t=0.3s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:33,996 INFO Control_59_3-3_O | MCD | HistGB | HistGB#027 W=7 V=long_lags rmse=147.5047±84.4342 ho=100.3132 t=0.5s OK
2026-05-09 22:26:42,927 INFO Control_59_3-3_O | MCD | HistGB | HistGB#028 W=10 V=full rmse=160.0138±111.5712 ho=99.0602 t=6.4s OK
2026-05-09 22:26:43,316 INFO Control_59_3-3_O | MCD | HistGB | HistGB#029 W=28 V=ema rmse=nan±nan ho=nan t=0.3s ERR early_stopped_worse_than_baseline
2026-05-09 22:26:45,027 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#BASELINE W=7 V=basic rmse=212.4719±105.4003 ho=115.1789 t=1.3s OK
2026-05-09 22:26:48,274 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#000 W=21 V=irrigation_memory rmse=208.5795±101.1042 ho=121.4133 t=2.4s OK
2026-05-09 22:26:51,194 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#001 W=2 V=soil_profile rmse=217.5625±139.4396 ho=113.5183 t=2.3s OK
2026-05-09 22:26:57,639 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#002 W=7 V=robust_smoothing rmse=148.0585±82.9709 ho=102.0892 t=4.7s OK
2026-05-09 22:27:04,696 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#003 W=28 V=ema rmse=144.6122±87.4698 ho=103.1184 t=4.7s OK
2026-05-09 22:27:06,513 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#004 W=35 V=basic rmse=218.6790±109.2712 ho=117.8764 t=1.2s OK
2026-05-09 22:27:09,734 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#005 W=28 V=ema rmse=164.2054±117.2128 ho=105.5237 t=2.0s OK
2026-05-09 22:27:12,818 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#006 W=21 V=calendar rmse=246.6506±120.2125 ho=127.0035 t=2.4s OK
2026-05-09 22:27:16,057 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#007 W=7 V=calendar rmse=179.6966±123.4403 ho=108.1645 t=2.4s OK
2026-05-09 22:27:17,771 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#008 W=2 V=basic rmse=186.9850±138.9326 ho=105.9246 t=1.3s OK
2026-05-09 22:27:22,858 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#009 W=35 V=long_lags rmse=224.6754±111.1242 ho=120.8527 t=3.8s OK
2026-05-09 22:27:25,362 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#010 W=21 V=long_lags rmse=149.7268±90.9386 ho=108.0959 t=1.7s OK
2026-05-09 22:27:30,691 INFO Control_59_3-3_O | MCD | RandomForest | RandomForest#011 W=21 V=full rmse=173.0694±109.1053 ho=107.6642 t=4.0s OK
2026-05-09 22:27:35,288 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#000 W=14 V=ema rmse=174.2840±91.1718 ho=98.9053 t=3.4s OK
2026-05-09 22:27:38,256 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#001 W=3 V=basic rmse=209.1216±138.9394 ho=102.5663 t=2.3s OK
2026-05-09 22:27:40,613 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#002 W=35 V=calendar rmse=256.9458±104.9059 ho=123.3207 t=1.7s OK
2026-05-09 22:27:42,258 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#003 W=5 V=stress_indices rmse=136.4527±82.5442 ho=98.4539 t=1.3s OK
2026-05-09 22:27:46,088 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#004 W=5 V=calendar rmse=199.0380±136.1564 ho=97.6726 t=2.9s OK
2026-05-09 22:27:47,740 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#005 W=7 V=irrigation_memory rmse=156.3105±97.8118 ho=100.5042 t=1.3s OK
2026-05-09 22:27:49,171 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#006 W=3 V=full rmse=154.9313±116.4964 ho=101.4191 t=1.0s OK
2026-05-09 22:27:52,891 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#007 W=10 V=multi_roll rmse=150.6673±94.8830 ho=92.4082 t=2.6s OK
2026-05-09 22:27:56,167 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#008 W=3 V=multi_roll rmse=212.7231±116.5454 ho=120.3015 t=2.5s OK
2026-05-09 22:28:00,092 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#009 W=2 V=calendar rmse=197.3942±128.7507 ho=97.8842 t=2.9s OK
2026-05-09 22:28:03,258 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#010 W=14 V=robust_smoothing rmse=204.1656±116.4872 ho=97.7025 t=2.3s OK
2026-05-09 22:28:05,506 INFO Control_59_3-3_O | MCD | ExtraTrees | ExtraTrees#011 W=5 V=soil_profile rmse=213.8471±134.9334 ho=104.2417 t=1.7s OK
2026-05-09 22:28:08,357 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#000 W=10 V=multi_roll rmse=191.4052±124.0048 ho=114.0765 t=2.0s OK
2026-05-09 22:28:14,758 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#001 W=28 V=irrigation_memory rmse=186.4693±102.1349 ho=116.6723 t=4.7s OK
2026-05-09 22:28:17,412 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#002 W=21 V=irrigation_memory rmse=210.5690±103.3474 ho=110.0550 t=1.9s OK
2026-05-09 22:28:43,374 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#003 W=35 V=irrigation_memory rmse=160.2714±107.3287 ho=108.9919 t=17.2s OK
2026-05-09 22:28:46,947 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#004 W=2 V=long_lags rmse=133.2183±76.7365 ho=106.9329 t=2.5s OK
2026-05-09 22:28:56,936 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#005 W=21 V=target_only rmse=167.9495±75.6098 ho=136.5031 t=6.9s OK
2026-05-09 22:29:00,457 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#006 W=14 V=soil_profile rmse=211.4728±127.2899 ho=100.0990 t=2.7s OK
2026-05-09 22:30:07,000 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#007 W=35 V=calendar rmse=162.1616±113.0275 ho=108.7546 t=44.8s OK
2026-05-09 22:30:13,811 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#008 W=7 V=soil_profile rmse=207.0777±95.5099 ho=108.8672 t=4.8s OK
2026-05-09 22:30:35,853 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#009 W=10 V=calendar rmse=155.4938±82.5172 ho=104.0669 t=14.5s OK
2026-05-09 22:31:27,761 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#010 W=7 V=robust_smoothing rmse=146.4896±91.9005 ho=98.3969 t=34.6s OK
