data,timestamp
1.0,2025-02-12T07:38:12Z
1.0,2025-02-16T10:54:34Z
1.0,2025-02-17T06:09:44Z
1.0,2025-02-18T07:55:05Z
1.0,2025-02-21T23:56:16Z
9.0,2025-02-22T00:11:16Z
7.0,2025-02-22T00:26:26Z
2.0,2025-02-22T00:41:26Z
3.0,2025-02-22T00:56:26Z
1.0,2025-02-22T01:26:26Z
1.0,2025-02-22T01:41:26Z
1.0,2025-02-22T05:56:26Z
7.0,2025-02-28T08:28:26Z
2.0,2025-02-28T08:43:26Z
1.0,2025-02-28T12:13:26Z
2.0,2025-02-28T15:58:26Z
10.0,2025-02-28T16:13:26Z
11.0,2025-02-28T16:28:36Z
1.0,2025-02-28T16:43:36Z
1.0,2025-03-01T05:28:46Z
9.0,2025-03-01T19:43:46Z
1.0,2025-03-01T19:58:46Z
1.0,2025-03-01T20:13:46Z
1.0,2025-03-02T15:58:46Z
2.0,2025-03-02T16:13:46Z
1.0,2025-03-03T01:43:46Z
1.0,2025-03-03T03:28:46Z
2.0,2025-03-03T07:58:46Z
7.0,2025-03-03T08:13:46Z
1.0,2025-03-03T08:28:18Z
1.0,2025-03-03T08:58:18Z
22.0,2025-03-03T09:13:18Z
2.0,2025-03-03T09:29:17Z
7.0,2025-03-03T09:44:17Z
2.0,2025-03-03T09:59:17Z
5.0,2025-03-03T10:14:17Z
6.0,2025-03-03T10:29:17Z
10.0,2025-03-03T10:44:17Z
3.0,2025-03-03T10:59:17Z
1.0,2025-03-03T21:14:17Z
1.0,2025-03-04T22:44:47Z
2.0,2025-03-05T16:14:57Z
6.0,2025-03-05T16:29:57Z
1.0,2025-03-05T16:44:57Z
2.0,2025-03-05T17:14:57Z
3.0,2025-03-05T18:59:57Z
1.0,2025-03-05T19:14:57Z
2.0,2025-03-05T19:44:57Z
1.0,2025-03-05T19:59:57Z
1.0,2025-03-05T20:14:57Z
3.0,2025-03-05T20:29:57Z
6.0,2025-03-05T20:44:57Z
8.0,2025-03-05T20:59:57Z
6.0,2025-03-05T21:14:57Z
5.0,2025-03-05T21:29:57Z
3.0,2025-03-05T21:44:57Z
1.0,2025-03-05T22:14:57Z
1.0,2025-03-06T10:15:17Z
1.0,2025-03-07T04:45:27Z
1.0,2025-03-07T18:15:37Z
2.0,2025-03-07T18:30:37Z
3.0,2025-03-07T18:45:37Z
4.0,2025-03-07T19:00:37Z
4.0,2025-03-07T19:15:37Z
5.0,2025-03-07T19:30:37Z
2.0,2025-03-07T19:45:37Z
4.0,2025-03-07T20:00:37Z
17.0,2025-03-07T20:15:37Z
3.0,2025-03-07T20:30:37Z
1.0,2025-03-07T20:45:37Z
1.0,2025-03-07T21:00:37Z
2.0,2025-03-07T21:15:37Z
1.0,2025-03-07T21:30:47Z
1.0,2025-03-08T05:45:47Z
2.0,2025-03-08T06:00:47Z
2.0,2025-03-08T06:15:47Z
3.0,2025-03-08T06:45:47Z
2.0,2025-03-08T07:00:47Z
3.0,2025-03-08T07:15:47Z
8.0,2025-03-08T07:30:47Z
5.0,2025-03-08T07:45:47Z
2.0,2025-03-08T08:00:47Z
1.0,2025-03-08T08:15:47Z
5.0,2025-03-08T08:45:57Z
7.0,2025-03-08T09:00:57Z
5.0,2025-03-08T09:15:57Z
4.0,2025-03-08T14:30:57Z
5.0,2025-03-08T14:45:57Z
1.0,2025-03-08T15:00:57Z
5.0,2025-03-08T15:15:57Z
3.0,2025-03-08T20:31:07Z
2.0,2025-03-08T20:46:07Z
1.0,2025-03-08T21:31:07Z
4.0,2025-03-08T22:16:07Z
1.0,2025-03-08T22:31:07Z
6.0,2025-03-08T22:46:07Z
1.0,2025-03-08T23:01:07Z
3.0,2025-03-09T00:31:07Z
1.0,2025-03-09T01:46:07Z
3.0,2025-03-09T02:46:07Z
3.0,2025-03-09T03:01:07Z
1.0,2025-03-09T03:16:07Z
3.0,2025-03-09T04:01:07Z
1.0,2025-03-09T04:16:07Z
