data,timestamp
4.0,2025-02-22T00:04:23Z
9.0,2025-02-22T00:19:24Z
2.0,2025-02-22T00:34:25Z
3.0,2025-02-22T00:49:25Z
1.0,2025-02-22T01:04:26Z
1.0,2025-02-22T02:04:29Z
6.0,2025-02-28T08:27:07Z
1.0,2025-02-28T08:42:08Z
1.0,2025-02-28T12:12:08Z
1.0,2025-02-28T15:57:20Z
10.0,2025-02-28T16:12:21Z
11.0,2025-02-28T16:27:22Z
1.0,2025-02-28T16:42:23Z
7.0,2025-03-01T19:43:46Z
1.0,2025-03-01T19:58:47Z
1.0,2025-03-01T20:28:49Z
1.0,2025-03-02T16:14:51Z
1.0,2025-03-02T17:59:57Z
1.0,2025-03-03T07:30:28Z
3.0,2025-03-03T08:00:29Z
7.0,2025-03-03T08:15:30Z
1.0,2025-03-03T08:30:31Z
1.0,2025-03-03T09:00:32Z
25.0,2025-03-03T09:15:33Z
1.0,2025-03-03T09:30:34Z
8.0,2025-03-03T09:45:35Z
3.0,2025-03-03T10:00:35Z
6.0,2025-03-03T10:15:36Z
5.0,2025-03-03T10:30:37Z
10.0,2025-03-03T10:45:38Z
3.0,2025-03-03T11:00:38Z
1.0,2025-03-03T14:00:47Z
2.0,2025-03-05T16:18:25Z
5.0,2025-03-05T16:33:26Z
1.0,2025-03-05T17:03:27Z
1.0,2025-03-05T17:18:28Z
3.0,2025-03-05T19:03:33Z
1.0,2025-03-05T19:33:35Z
2.0,2025-03-05T19:48:36Z
1.0,2025-03-05T20:03:36Z
2.0,2025-03-05T20:18:37Z
3.0,2025-03-05T20:33:38Z
7.0,2025-03-05T20:48:39Z
8.0,2025-03-05T21:03:29Z
5.0,2025-03-05T21:18:30Z
4.0,2025-03-05T21:33:31Z
3.0,2025-03-05T21:48:32Z
1.0,2025-03-06T17:04:31Z
1.0,2025-03-07T18:20:52Z
2.0,2025-03-07T18:35:53Z
4.0,2025-03-07T18:50:54Z
4.0,2025-03-07T19:05:55Z
4.0,2025-03-07T19:20:56Z
5.0,2025-03-07T19:35:57Z
5.0,2025-03-07T19:50:58Z
7.0,2025-03-07T20:05:59Z
15.0,2025-03-07T20:21:00Z
3.0,2025-03-07T20:36:01Z
1.0,2025-03-07T20:51:02Z
2.0,2025-03-07T21:06:02Z
1.0,2025-03-07T21:21:03Z
1.0,2025-03-08T04:06:24Z
2.0,2025-03-08T05:51:30Z
3.0,2025-03-08T06:06:30Z
3.0,2025-03-08T06:21:31Z
2.0,2025-03-08T06:36:32Z
5.0,2025-03-08T06:51:33Z
1.0,2025-03-08T07:06:33Z
7.0,2025-03-08T07:21:34Z
9.0,2025-03-08T07:36:35Z
5.0,2025-03-08T07:51:36Z
1.0,2025-03-08T08:06:36Z
8.0,2025-03-08T08:51:39Z
13.0,2025-03-08T09:06:28Z
2.0,2025-03-08T09:21:29Z
6.0,2025-03-08T14:36:45Z
2.0,2025-03-08T14:51:46Z
8.0,2025-03-08T15:06:46Z
1.0,2025-03-08T15:21:47Z
3.0,2025-03-08T20:37:05Z
1.0,2025-03-08T20:52:06Z
1.0,2025-03-08T21:22:08Z
2.0,2025-03-08T22:07:10Z
4.0,2025-03-08T22:22:11Z
2.0,2025-03-08T22:37:12Z
5.0,2025-03-08T22:52:13Z
1.0,2025-03-08T23:07:13Z
2.0,2025-03-09T00:22:18Z
2.0,2025-03-09T01:37:22Z
2.0,2025-03-09T02:37:25Z
4.0,2025-03-09T02:52:26Z
2.0,2025-03-09T03:07:26Z
1.0,2025-03-09T03:37:28Z
1.0,2025-03-09T03:52:29Z
3.0,2025-03-09T04:07:29Z
2.0,2025-03-09T04:22:30Z
2.0,2025-03-09T05:37:35Z
3.0,2025-03-09T05:52:36Z
1.0,2025-03-09T06:07:36Z
1.0,2025-03-09T06:37:38Z
2.0,2025-03-09T06:52:39Z
2.0,2025-03-09T07:37:41Z
4.0,2025-03-09T07:52:42Z
1.0,2025-03-09T08:07:42Z
1.0,2025-03-09T08:22:43Z
1.0,2025-03-09T08:37:44Z
1.0,2025-03-09T09:52:48Z
6.0,2025-03-09T10:07:48Z
8.0,2025-03-09T10:22:49Z
7.0,2025-03-09T10:37:50Z
2.0,2025-03-09T12:07:54Z
1.0,2025-03-09T12:22:55Z
2.0,2025-03-09T16:38:08Z
1.0,2025-03-09T17:23:10Z
2.0,2025-03-09T17:38:11Z
1.0,2025-03-09T18:53:15Z
1.0,2025-03-09T19:08:15Z
1.0,2025-03-09T19:23:16Z
2.0,2025-03-09T20:08:19Z
1.0,2025-03-09T20:23:20Z
1.0,2025-03-09T20:38:21Z
1.0,2025-03-09T21:53:25Z
5.0,2025-03-09T22:38:27Z
1.0,2025-03-09T22:53:28Z
2.0,2025-03-10T03:23:43Z
3.0,2025-03-10T03:38:44Z
1.0,2025-03-10T03:53:45Z
9.0,2025-03-10T04:53:49Z
7.0,2025-03-10T07:38:57Z
4.0,2025-03-10T07:53:58Z
1.0,2025-03-10T08:23:59Z
