data,timestamp
1.0,2025-02-16T10:52:26Z
1.0,2025-02-17T06:52:46Z
1.0,2025-02-21T23:53:48Z
7.0,2025-02-22T00:08:48Z
7.0,2025-02-22T00:23:48Z
2.0,2025-02-22T00:38:58Z
3.0,2025-02-22T00:53:58Z
1.0,2025-02-22T01:08:58Z
1.0,2025-02-22T01:38:58Z
1.0,2025-02-22T02:23:58Z
6.0,2025-02-28T08:25:20Z
1.0,2025-02-28T08:40:20Z
1.0,2025-02-28T12:10:20Z
1.0,2025-02-28T15:55:20Z
8.0,2025-02-28T16:10:20Z
13.0,2025-02-28T16:25:20Z
2.0,2025-02-28T16:40:20Z
1.0,2025-03-01T03:25:30Z
1.0,2025-03-01T08:10:30Z
7.0,2025-03-01T19:40:30Z
2.0,2025-03-01T19:55:30Z
1.0,2025-03-01T20:25:30Z
2.0,2025-03-02T16:10:30Z
1.0,2025-03-02T16:25:30Z
1.0,2025-03-03T03:10:30Z
2.0,2025-03-03T07:54:01Z
4.0,2025-03-03T08:09:01Z
4.0,2025-03-03T08:24:01Z
1.0,2025-03-03T08:55:58Z
20.0,2025-03-03T09:10:58Z
5.0,2025-03-03T09:25:58Z
4.0,2025-03-03T09:40:58Z
5.0,2025-03-03T09:55:58Z
4.0,2025-03-03T10:10:58Z
8.0,2025-03-03T10:25:58Z
10.0,2025-03-03T10:40:58Z
3.0,2025-03-03T10:55:58Z
1.0,2025-03-03T22:40:58Z
1.0,2025-03-05T11:26:20Z
6.0,2025-03-05T16:26:20Z
2.0,2025-03-05T16:41:20Z
2.0,2025-03-05T17:11:20Z
2.0,2025-03-05T18:56:20Z
1.0,2025-03-05T19:11:20Z
1.0,2025-03-05T19:26:20Z
1.0,2025-03-05T19:41:06Z
2.0,2025-03-05T19:56:06Z
1.0,2025-03-05T20:11:06Z
3.0,2025-03-05T20:26:06Z
5.0,2025-03-05T20:41:28Z
8.0,2025-03-05T20:56:28Z
6.0,2025-03-05T21:11:28Z
6.0,2025-03-05T21:26:28Z
3.0,2025-03-05T21:41:28Z
1.0,2025-03-05T21:56:28Z
1.0,2025-03-05T22:11:28Z
1.0,2025-03-06T02:56:28Z
1.0,2025-03-07T06:26:38Z
1.0,2025-03-07T18:11:49Z
1.0,2025-03-07T18:26:49Z
3.0,2025-03-07T18:41:49Z
4.0,2025-03-07T18:56:49Z
5.0,2025-03-07T19:11:49Z
5.0,2025-03-07T19:26:49Z
6.0,2025-03-07T19:41:49Z
7.0,2025-03-07T19:56:49Z
18.0,2025-03-07T20:11:49Z
4.0,2025-03-07T20:26:49Z
4.0,2025-03-07T20:41:49Z
1.0,2025-03-07T20:56:49Z
2.0,2025-03-07T21:11:49Z
1.0,2025-03-07T21:26:49Z
1.0,2025-03-08T00:41:49Z
1.0,2025-03-08T05:41:59Z
3.0,2025-03-08T05:56:59Z
5.0,2025-03-08T06:11:59Z
3.0,2025-03-08T06:26:59Z
5.0,2025-03-08T06:41:59Z
4.0,2025-03-08T06:56:59Z
3.0,2025-03-08T07:11:59Z
11.0,2025-03-08T07:26:59Z
7.0,2025-03-08T07:41:59Z
4.0,2025-03-08T07:56:59Z
1.0,2025-03-08T08:11:59Z
2.0,2025-03-08T08:41:59Z
10.0,2025-03-08T08:56:59Z
9.0,2025-03-08T09:11:59Z
1.0,2025-03-08T09:41:59Z
1.0,2025-03-08T14:26:59Z
6.0,2025-03-08T14:41:59Z
2.0,2025-03-08T14:56:59Z
8.0,2025-03-08T15:11:59Z
2.0,2025-03-08T20:26:59Z
2.0,2025-03-08T20:41:59Z
1.0,2025-03-08T20:56:59Z
6.0,2025-03-08T22:11:59Z
5.0,2025-03-08T22:41:59Z
2.0,2025-03-08T22:56:59Z
1.0,2025-03-08T23:11:59Z
2.0,2025-03-09T00:26:59Z
1.0,2025-03-09T00:56:59Z
1.0,2025-03-09T01:41:59Z
3.0,2025-03-09T02:41:59Z
3.0,2025-03-09T02:56:59Z
2.0,2025-03-09T03:11:59Z
2.0,2025-03-09T03:56:59Z
3.0,2025-03-09T04:11:59Z
1.0,2025-03-09T04:26:59Z
3.0,2025-03-09T05:41:59Z
3.0,2025-03-09T05:56:59Z
1.0,2025-03-09T06:41:59Z
2.0,2025-03-09T06:56:59Z
2.0,2025-03-09T07:41:59Z
3.0,2025-03-09T07:56:59Z
1.0,2025-03-09T08:11:59Z
1.0,2025-03-09T08:26:59Z
2.0,2025-03-09T08:41:59Z
3.0,2025-03-09T09:57:09Z
5.0,2025-03-09T10:12:09Z
9.0,2025-03-09T10:27:09Z
5.0,2025-03-09T10:42:09Z
1.0,2025-03-09T10:57:09Z
3.0,2025-03-09T12:12:09Z
1.0,2025-03-09T16:27:09Z
2.0,2025-03-09T16:42:09Z
2.0,2025-03-09T17:27:09Z
1.0,2025-03-09T17:42:09Z
1.0,2025-03-09T18:42:09Z
1.0,2025-03-09T18:57:09Z
1.0,2025-03-09T19:12:09Z
1.0,2025-03-09T19:42:09Z
1.0,2025-03-09T19:57:09Z
2.0,2025-03-09T20:12:09Z
1.0,2025-03-09T20:27:09Z
1.0,2025-03-09T20:42:09Z
1.0,2025-03-09T21:57:09Z
5.0,2025-03-09T22:42:09Z
1.0,2025-03-09T22:57:09Z
2.0,2025-03-10T03:27:09Z
3.0,2025-03-10T03:42:09Z
1.0,2025-03-10T03:57:09Z
2.0,2025-03-10T04:42:09Z
7.0,2025-03-10T04:57:09Z
4.0,2025-03-10T07:27:09Z
2.0,2025-03-10T07:42:09Z
