data,timestamp
4.0,2025-02-22T00:04:59Z
9.0,2025-02-22T00:20:00Z
2.0,2025-02-22T00:35:01Z
2.0,2025-02-22T00:50:02Z
2.0,2025-02-22T01:05:03Z
1.0,2025-02-22T02:05:07Z
6.0,2025-02-28T08:27:22Z
1.0,2025-02-28T08:42:22Z
1.0,2025-02-28T12:12:33Z
1.0,2025-02-28T15:57:44Z
10.0,2025-02-28T16:12:45Z
10.0,2025-02-28T16:27:46Z
1.0,2025-02-28T16:42:46Z
1.0,2025-02-28T16:57:47Z
7.0,2025-03-01T19:44:02Z
1.0,2025-03-01T19:59:03Z
1.0,2025-03-01T20:29:05Z
1.0,2025-03-02T16:15:06Z
1.0,2025-03-02T17:15:09Z
1.0,2025-03-03T07:30:54Z
3.0,2025-03-03T08:00:55Z
7.0,2025-03-03T08:15:56Z
1.0,2025-03-03T08:30:57Z
1.0,2025-03-03T09:00:58Z
21.0,2025-03-03T09:15:59Z
2.0,2025-03-03T09:31:00Z
7.0,2025-03-03T09:46:00Z
2.0,2025-03-03T10:01:01Z
6.0,2025-03-03T10:16:02Z
6.0,2025-03-03T10:31:03Z
9.0,2025-03-03T10:46:03Z
3.0,2025-03-03T11:01:04Z
1.0,2025-03-05T11:18:25Z
2.0,2025-03-05T16:18:30Z
4.0,2025-03-05T16:33:31Z
1.0,2025-03-05T16:48:32Z
1.0,2025-03-05T17:03:33Z
1.0,2025-03-05T17:33:35Z
2.0,2025-03-05T19:03:40Z
1.0,2025-03-05T19:18:41Z
2.0,2025-03-05T19:48:42Z
1.0,2025-03-05T20:03:43Z
2.0,2025-03-05T20:18:44Z
4.0,2025-03-05T20:33:45Z
6.0,2025-03-05T20:48:45Z
7.0,2025-03-05T21:03:46Z
6.0,2025-03-05T21:18:47Z
4.0,2025-03-05T21:33:48Z
2.0,2025-03-05T21:48:48Z
1.0,2025-03-06T16:49:45Z
1.0,2025-03-07T18:20:58Z
2.0,2025-03-07T18:35:59Z
4.0,2025-03-07T18:50:59Z
5.0,2025-03-07T19:06:00Z
4.0,2025-03-07T19:21:01Z
6.0,2025-03-07T19:36:02Z
6.0,2025-03-07T19:51:02Z
9.0,2025-03-07T20:06:03Z
16.0,2025-03-07T20:21:04Z
3.0,2025-03-07T20:36:05Z
1.0,2025-03-07T20:51:05Z
2.0,2025-03-07T21:06:06Z
1.0,2025-03-07T21:21:07Z
1.0,2025-03-08T01:51:21Z
3.0,2025-03-08T05:51:34Z
4.0,2025-03-08T06:06:35Z
4.0,2025-03-08T06:21:36Z
3.0,2025-03-08T06:36:37Z
7.0,2025-03-08T06:51:37Z
1.0,2025-03-08T07:06:38Z
8.0,2025-03-08T07:21:39Z
10.0,2025-03-08T07:36:40Z
5.0,2025-03-08T07:51:40Z
1.0,2025-03-08T08:06:41Z
1.0,2025-03-08T08:21:42Z
8.0,2025-03-08T08:51:44Z
12.0,2025-03-08T09:06:45Z
2.0,2025-03-08T09:21:46Z
6.0,2025-03-08T14:37:03Z
2.0,2025-03-08T14:52:03Z
7.0,2025-03-08T15:07:04Z
3.0,2025-03-08T20:37:21Z
1.0,2025-03-08T20:52:21Z
2.0,2025-03-08T22:07:26Z
4.0,2025-03-08T22:22:27Z
2.0,2025-03-08T22:37:28Z
4.0,2025-03-08T22:52:29Z
1.0,2025-03-08T23:07:30Z
2.0,2025-03-09T00:22:34Z
2.0,2025-03-09T01:37:38Z
2.0,2025-03-09T02:37:42Z
4.0,2025-03-09T02:52:42Z
2.0,2025-03-09T03:07:43Z
1.0,2025-03-09T03:52:45Z
4.0,2025-03-09T04:07:46Z
1.0,2025-03-09T04:22:47Z
1.0,2025-03-09T04:37:48Z
1.0,2025-03-09T05:37:51Z
3.0,2025-03-09T05:52:52Z
1.0,2025-03-09T06:07:53Z
1.0,2025-03-09T06:22:54Z
2.0,2025-03-09T06:52:55Z
1.0,2025-03-09T07:07:56Z
1.0,2025-03-09T07:37:58Z
4.0,2025-03-09T07:52:58Z
1.0,2025-03-09T08:07:59Z
1.0,2025-03-09T08:23:00Z
1.0,2025-03-09T08:38:01Z
1.0,2025-03-09T08:53:01Z
1.0,2025-03-09T09:53:04Z
5.0,2025-03-09T10:08:05Z
8.0,2025-03-09T10:23:06Z
6.0,2025-03-09T10:38:07Z
1.0,2025-03-09T10:53:07Z
2.0,2025-03-09T12:08:11Z
1.0,2025-03-09T12:23:12Z
2.0,2025-03-09T16:38:15Z
1.0,2025-03-09T17:23:17Z
2.0,2025-03-09T17:38:18Z
2.0,2025-03-09T18:53:21Z
1.0,2025-03-09T19:23:23Z
1.0,2025-03-09T19:38:24Z
2.0,2025-03-09T20:08:25Z
1.0,2025-03-09T20:23:26Z
1.0,2025-03-09T20:38:27Z
1.0,2025-03-09T21:53:30Z
5.0,2025-03-09T22:38:33Z
1.0,2025-03-09T22:53:33Z
2.0,2025-03-10T03:23:47Z
3.0,2025-03-10T03:38:48Z
1.0,2025-03-10T03:53:48Z
8.0,2025-03-10T04:53:51Z
7.0,2025-03-10T07:39:00Z
3.0,2025-03-10T07:54:00Z
1.0,2025-03-10T08:24:02Z
1.0,2025-03-10T08:39:03Z
1.0,2025-03-10T10:24:08Z
2.0,2025-03-10T10:39:09Z
3.0,2025-03-10T12:39:15Z
4.0,2025-03-10T13:24:17Z
1.0,2025-03-10T18:54:33Z
1.0,2025-03-10T19:39:36Z
5.0,2025-03-10T19:54:36Z
29.0,2025-03-10T20:09:37Z
1.0,2025-03-10T20:39:39Z
1.0,2025-03-10T20:54:39Z
5.0,2025-03-10T21:09:40Z
2.0,2025-03-10T21:54:42Z
2.0,2025-03-10T23:09:46Z
2.0,2025-03-11T00:24:51Z
17.0,2025-03-11T00:39:52Z
1.0,2025-03-11T00:54:52Z
2.0,2025-03-11T01:24:54Z
6.0,2025-03-11T01:39:55Z
18.0,2025-03-11T01:54:55Z
16.0,2025-03-11T02:09:56Z
1.0,2025-03-11T02:24:57Z
1.0,2025-03-11T10:10:23Z
1.0,2025-03-11T12:10:30Z
1.0,2025-03-11T12:25:31Z
1.0,2025-03-14T11:43:53Z
1.0,2025-03-14T15:29:04Z
6.0,2025-03-14T16:44:08Z
13.0,2025-03-14T16:59:08Z
1.0,2025-03-14T17:14:09Z
5.0,2025-03-16T01:00:36Z
3.0,2025-03-16T01:15:37Z
1.0,2025-03-16T01:30:38Z
2.0,2025-03-16T01:45:39Z
10.0,2025-03-16T02:00:39Z
4.0,2025-03-16T02:15:40Z
1.0,2025-03-16T02:30:41Z
1.0,2025-03-16T20:46:37Z
1.0,2025-03-16T21:01:37Z
3.0,2025-03-16T21:16:38Z
2.0,2025-03-16T21:31:39Z
1.0,2025-03-16T22:16:41Z
1.0,2025-03-17T01:01:50Z
1.0,2025-03-17T01:31:52Z
2.0,2025-03-17T01:46:53Z
3.0,2025-03-17T03:01:57Z
1.0,2025-03-17T03:31:59Z
4.0,2025-03-17T03:47:00Z
6.0,2025-03-17T04:17:01Z
7.0,2025-03-17T04:32:02Z
3.0,2025-03-17T04:47:03Z
10.0,2025-03-17T05:02:03Z
1.0,2025-03-17T05:17:04Z
1.0,2025-03-17T12:47:16Z
29.0,2025-03-17T13:02:16Z
21.0,2025-03-17T13:17:17Z
4.0,2025-03-17T13:32:18Z
7.0,2025-03-17T13:47:19Z
1.0,2025-03-17T14:02:19Z
1.0,2025-03-17T17:02:29Z
2.0,2025-03-17T18:32:34Z
6.0,2025-03-17T18:47:35Z
5.0,2025-03-17T19:02:36Z
1.0,2025-03-17T19:17:37Z
1.0,2025-03-17T20:02:39Z
5.0,2025-03-17T20:17:40Z
1.0,2025-03-17T20:32:41Z
3.0,2025-03-17T21:02:42Z
1.0,2025-03-17T21:17:43Z
3.0,2025-03-17T21:32:44Z
11.0,2025-03-17T22:02:45Z
1.0,2025-03-17T22:47:48Z
1.0,2025-03-17T23:17:49Z
1.0,2025-03-18T00:02:51Z
1.0,2025-03-18T00:32:53Z
1.0,2025-03-18T01:17:55Z
1.0,2025-03-18T04:18:05Z
1.0,2025-03-20T03:35:20Z
3.0,2025-03-20T03:50:21Z
3.0,2025-03-20T04:05:21Z
14.0,2025-03-20T04:20:22Z
7.0,2025-03-20T04:35:23Z
9.0,2025-03-20T04:50:24Z
6.0,2025-03-20T05:05:24Z
15.0,2025-03-20T05:20:25Z
3.0,2025-03-20T05:35:26Z
10.0,2025-03-20T05:50:27Z
6.0,2025-03-20T06:05:27Z
8.0,2025-03-20T06:20:28Z
4.0,2025-03-20T13:20:51Z
1.0,2025-03-20T14:35:55Z
7.0,2025-03-20T14:50:56Z
10.0,2025-03-20T15:05:56Z
8.0,2025-03-20T15:20:57Z
6.0,2025-03-20T15:35:58Z
4.0,2025-03-20T15:50:59Z
2.0,2025-03-20T16:05:59Z
1.0,2025-03-20T16:21:00Z
5.0,2025-03-20T16:36:01Z
11.0,2025-03-20T16:51:02Z
17.0,2025-03-20T17:06:03Z
3.0,2025-03-20T17:21:04Z
2.0,2025-03-20T17:36:05Z
1.0,2025-03-20T18:51:09Z
4.0,2025-03-20T21:06:16Z
1.0,2025-03-20T21:21:17Z
13.0,2025-03-20T21:36:18Z
8.0,2025-03-20T21:51:19Z
3.0,2025-03-20T23:21:23Z
1.0,2025-03-21T07:06:47Z
2.0,2025-03-21T13:36:57Z
1.0,2025-03-21T13:51:58Z
1.0,2025-03-21T14:21:59Z
6.0,2025-03-21T14:37:00Z
1.0,2025-03-21T14:52:01Z
1.0,2025-03-21T15:07:01Z
