data,timestamp
1.0,2025-02-12T07:12:54Z
1.0,2025-02-16T10:59:36Z
1.0,2025-02-17T05:44:56Z
1.0,2025-02-18T09:15:27Z
3.0,2025-02-22T00:01:51Z
9.0,2025-02-22T00:16:51Z
3.0,2025-02-22T00:31:51Z
2.0,2025-02-22T00:46:51Z
2.0,2025-02-22T01:01:51Z
1.0,2025-02-22T01:31:51Z
1.0,2025-02-22T02:01:51Z
1.0,2025-02-22T07:47:01Z
5.0,2025-02-28T08:19:12Z
4.0,2025-02-28T08:34:12Z
1.0,2025-02-28T12:19:24Z
5.0,2025-02-28T16:04:24Z
16.0,2025-02-28T16:19:24Z
4.0,2025-02-28T16:34:24Z
1.0,2025-02-28T16:49:24Z
2.0,2025-03-01T19:34:34Z
8.0,2025-03-01T19:49:34Z
1.0,2025-03-01T20:34:34Z
1.0,2025-03-03T07:49:21Z
4.0,2025-03-03T08:04:21Z
7.0,2025-03-03T08:20:19Z
3.0,2025-03-03T09:05:19Z
20.0,2025-03-03T09:20:19Z
9.0,2025-03-03T09:50:19Z
2.0,2025-03-03T10:05:19Z
11.0,2025-03-03T10:20:19Z
8.0,2025-03-03T10:35:19Z
6.0,2025-03-03T10:50:19Z
1.0,2025-03-03T14:05:19Z
1.0,2025-03-04T16:35:50Z
1.0,2025-03-05T11:21:12Z
4.0,2025-03-05T16:21:12Z
3.0,2025-03-05T16:36:12Z
1.0,2025-03-05T16:51:12Z
1.0,2025-03-05T17:06:12Z
1.0,2025-03-05T17:21:12Z
3.0,2025-03-05T19:06:23Z
1.0,2025-03-05T19:36:23Z
2.0,2025-03-05T19:51:23Z
1.0,2025-03-05T20:06:23Z
2.0,2025-03-05T20:21:23Z
5.0,2025-03-05T20:36:23Z
7.0,2025-03-05T20:51:23Z
6.0,2025-03-05T21:06:23Z
6.0,2025-03-05T21:21:23Z
4.0,2025-03-05T21:36:23Z
2.0,2025-03-05T21:51:23Z
1.0,2025-03-06T00:06:23Z
2.0,2025-03-07T18:07:03Z
3.0,2025-03-07T18:37:03Z
4.0,2025-03-07T18:52:03Z
5.0,2025-03-07T19:07:03Z
4.0,2025-03-07T19:22:03Z
6.0,2025-03-07T19:37:03Z
7.0,2025-03-07T19:52:03Z
11.0,2025-03-07T20:07:03Z
15.0,2025-03-07T20:22:03Z
4.0,2025-03-07T20:37:03Z
1.0,2025-03-07T20:52:03Z
2.0,2025-03-07T21:07:03Z
1.0,2025-03-07T21:22:03Z
1.0,2025-03-07T21:37:03Z
3.0,2025-03-08T05:52:03Z
5.0,2025-03-08T06:07:03Z
4.0,2025-03-08T06:22:03Z
3.0,2025-03-08T06:37:03Z
6.0,2025-03-08T06:52:03Z
3.0,2025-03-08T07:07:03Z
9.0,2025-03-08T07:22:03Z
11.0,2025-03-08T07:37:03Z
6.0,2025-03-08T07:52:03Z
1.0,2025-03-08T08:07:03Z
9.0,2025-03-08T08:52:03Z
12.0,2025-03-08T09:07:03Z
1.0,2025-03-08T09:22:13Z
6.0,2025-03-08T14:37:13Z
2.0,2025-03-08T14:52:13Z
6.0,2025-03-08T15:07:13Z
3.0,2025-03-08T20:37:13Z
1.0,2025-03-08T20:52:13Z
1.0,2025-03-08T22:07:13Z
4.0,2025-03-08T22:22:13Z
1.0,2025-03-08T22:37:13Z
4.0,2025-03-08T22:52:13Z
1.0,2025-03-08T23:07:13Z
1.0,2025-03-09T00:22:23Z
1.0,2025-03-09T00:37:23Z
1.0,2025-03-09T01:37:23Z
1.0,2025-03-09T01:52:23Z
1.0,2025-03-09T02:37:23Z
4.0,2025-03-09T02:52:23Z
2.0,2025-03-09T03:07:23Z
1.0,2025-03-09T03:52:23Z
